ประเทศ,ปี,เดินทางเป็นกลุ่ม,เดินทางด้วยตัวเอง,ท่องเที่ยว,ธุรกิจ,ประชุมของหน่วยงาน,ประชุมเชิงธุรกิจ,ประชุมของสมาคม,งานแสดงสินค้า/นิทรรศการ,การศึกษา,การจ้างแรงงาน,การขนส่ง,การกีฬา,ทางการแพทย์
ลาว,2559,34225,1380691,1352526,1349,1460,12,77,12,1285,8147,10219,0,0
ลาว,2560,56404,1636462,1565226,4484,2716,2851,358,2074,7677,3530,31488,0,0
ลาว,2561,55899,1626405,1569825,38168,5139,2426,2310,2326,4378,0,12172,1809,6370
ลาว,2562,61689,1795073,1713062,41534,8824,2327,1812,3508,10259,0,0,4399,19567
ลาว,2563,16494,365752,363662,2203,1955,625,253,1985,1959,0,0,1931,3880
มาเลเซีย,2559,1431890,2074309,3398725,43939,26287,844,3882,2790,4204,6853,8044,0,0
มาเลเซีย,2560,1221238,2271874,3334973,52493,36931,8749,6549,6018,12536,10166,11517,0,0
มาเลเซีย,2561,1340412,2702586,3857884,65264,43434,3484,7234,8781,8919,0,12387,9571,2286
มาเลเซีย,2562,1335412,2939046,4060505,66579,47327,3987,8697,6608,8840,0,0,29817,3902
มาเลเซีย,2563,160474,452448,589548,8258,5250,322,965,4204,1238,0,0,1870,534
พม่า,2559,44116,319755,280779,13419,8961,397,1270,917,6609,2338,7115,0,0
พม่า,2560,46276,341446,298092,14009,9628,814,810,1421,8573,2475,6654,0,0
พม่า,2561,47023,332857,298289,19253,9468,1131,1058,1524,7647,0,7173,1291,8568
พม่า,2562,52431,336870,296838,10682,9974,1015,1014,1482,6874,0,0,5192,24561
พม่า,2563,10552,44389,43631,1109,760,51,99,212,1162,0,0,589,5189
บรูไนดารุสซาลาม,2559,2346,15648,15813,369,450,7,98,34,250,39,477,0,0
บรูไนดารุสซาลาม,2560,2033,16216,15685,416,438,21,129,62,290,49,440,0,0
บรูไนดารุสซาลาม,2561,2083,16377,16147,639,475,1,93,85,173,0,243,218,81
บรูไนดารุสซาลาม,2562,2503,17355,16858,437,818,7,147,106,205,0,0,452,130
บรูไนดารุสซาลาม,2563,385,2059,2178,46,67,0,4,9,37,0,0,64,2
กัมพูชา,2559,29229,655607,651321,3091,6284,312,240,180,1774,303,3598,0,17733
กัมพูชา,2560,50145,801734,792488,10055,8894,1567,859,1126,3161,633,5085,0,28011
กัมพูชา,2561,46764,904216,862702,22347,9211,1149,1414,1971,6108,0,4793,8701,30025
กัมพูชา,2562,60951,864486,792313,12729,12669,1448,963,1531,9788,0,0,28010,55125
กัมพูชา,2563,10229,154041,146245,1264,1542,49,106,242,1664,0,0,6596,4613
อินโดนีเซีย,2559,184854,373645,491004,16294,16754,746,3122,2194,9498,2396,7101,0,0
อินโดนีเซีย,2560,186966,407094,516242,16679,18022,1613,3888,2930,11829,2765,9663,0,0
อินโดนีเซีย,2561,193016,451463,565927,19988,18241,1032,3254,2842,10735,0,8812,1994,531
อินโดนีเซีย,2562,207957,498951,611680,19639,23691,1093,4578,3366,13264,0,0,5197,2255
อินโดนีเซีย,2563,30237,66756,87641,2199,2078,95,268,414,1524,0,0,934,270
ฟิลิปปินส์,2559,74216,249644,254053,12684,6887,1742,8930,425,4145,11660,7269,0,0
ฟิลิปปินส์,2560,77274,283944,270847,15070,7560,3237,12021,998,5029,13656,9102,0,0
ฟิลิปปินส์,2561,84748,323084,328904,17691,6821,4974,7168,1505,4633,0,6994,2226,844
ฟิลิปปินส์,2562,96501,377064,366337,15425,9583,6221,11639,2359,5411,0,0,8091,1042
ฟิลิปปินส์,2563,16650,51709,59639,1221,534,330,315,233,731,0,0,964,208
สิงคโปร์,2559,158857,1004452,1007150,87586,33541,364,2860,1178,4969,5989,4917,0,0
สิงคโปร์,2560,116194,1143329,1078367,91387,40557,5539,4109,2169,6915,6970,6496,0,0
สิงคโปร์,2561,114441,1053671,1030771,61771,28827,3524,4227,2150,6397,0,7001,6265,1831
สิงคโปร์,2562,130702,1019322,978745,76410,43494,2978,4144,3052,7688,0,0,14929,1413
สิงคโปร์,2563,10364,122147,118753,6783,3236,77,248,431,336,0,0,857,206
เวียดนาม,2559,270832,592975,793811,26814,15614,535,2044,1262,5812,1512,6359,0,0
เวียดนาม,2560,329042,656653,900572,30855,16831,1437,2246,2499,8012,2156,7238,0,0
เวียดนาม,2561,346490,707233,942974,41057,16404,2076,2943,3378,8986,0,11953,3940,1728
เวียดนาม,2562,332542,748067,952993,32948,19920,2535,3922,3255,16198,0,0,15074,4991
เวียดนาม,2563,40304,91004,120801,3247,1927,120,189,294,1219,0,0,1363,574
